id,title,description,price,purchases,desc_length
62669,Wine and Dine,En flaske naturvin fra Rosforth & Rosforth og en af vores fantastiske pizzaer eller burger med fritter.,300.0,0.0,103
62720,Lassi,"Valg mellem sød, saltede og mango",25.0,0.0,33
62729,Mint Tilbud,"4 PERS. LAMB TIKKA MASALA, TADKA DAL, BUTTER CHICKEN, PAPPADAM, RAITA, NAAN, RIS",400.0,0.0,80
62730,Mint Tilbud Stor,"6 PERS. LAMB TIKKA MASALA , TADKA DAL BUTTER CHICKEN TANDORI CHICKEN, PALAK PANEER PAPPADAM, RAITA, NAAN, RIS",600.0,0.0,109
62732,"Pappadam (G, V)",2 tynde sprøde snack med mint chutney.,20.0,1.0,38
62733,Vegetar Samosa (V),"2 stk. Sprød samosa med kartofler & ærter, i velkrydret dej",39.0,1.0,59
62734,Seekh kebab (G),"Hakket lammekød, koriander, frisk og stærktkrydret og bagt i tandoor.",69.0,0.0,69
62735,Malai chicken tikka (G),"Kylling marineret med yoghurt, koriander, bagt i tandoor.",69.0,0.0,57
62736,Fish pakora,Frisk fisk stegt med blanding af chili og hvidløg.,69.0,2.0,50
62737,"Onion bhaji rings (G, V)",Løgringe stegt i krydret dej.,39.0,1.0,29
62738,Samosa chaat with chana (V),"En sprød samosa serveret med kikærter, yoghurt og toppes med forskellige krydderier og saucer.",69.0,0.0,94
62739,King prawn pakora (G),Kongerejer stegt i velkrydret dej.,69.0,0.0,34
62740,Soup,"Vælg mellem kylling, tomat eller vegetar.",49.0,0.0,41
62746,India Royale chicken (G),Kyllingefilet lavet efter kokkens egen opskrift.,109.0,0.0,48
62747,Butter chicken (G),Marineret kyllingefilet tilberedt i cremet tomatsauce (indeholder nøddemix),109.0,0.0,75
62748,Chicken korma (G),"Kyllingefilet tilberedt i safran, krydderier, koriander, løg og tomatsauce (indeholder nøddemix)",109.0,0.0,96
62749,Hot Spicy Chicken (G),Kyllingefilet tilberedt i stærk karrysauce.,109.0,0.0,43
62750,Chicken Tikka Masala (G),"Marineret kyllingefilet tilberedt med tomat, løg og friske krydderier",109.0,0.0,69
62751,Goan chicken (G),Kyllingefilet i mild karrysauce og kokos- mælk,109.0,0.0,46
62752,Mango chicken (G),Kyllingefilet tilberedt i karrysauce og mango.,109.0,0.0,46
62754,India Royale Lamb (G),Lammefilet tilberedt efter kokkens egen opskrift (indeholder nøddemix),119.0,0.0,70
62755,Saag lamb (G),Lammefilet i spinatsauce og friske krydderier,119.0,0.0,45
62756,Hot Spicy Lamb (G),Lam tilberedt i stærk karrysauce.,119.0,0.0,33
62757,Lamb Tikka Masala (G),"Marineret lam tilberedt med tomat, løg og friske krydderier",119.0,0.0,59
62758,Lamb Curry,Lammefilet tilberedt i klassisk karrysauce med koriander og kardemomme,119.0,0.0,70
62760,Tarka Dal (G),Gule linser tilberedt med spidskommen og hvidløg. Mulighed for vegansk,99.0,0.0,70
62761,Palak Paneer (G),Hjemmelavet hytteost tilberedt med spinat og krydderier,99.0,0.0,55
