item_id,item_name,profit,profit_share
66648,Filter Kaffe,260.0,3.785790817353993e-07
66665,rababerbrus,320.0,4.659434852127991e-07
66668,"Blanc, 1664 Alcohol Fri",144.0,2.0967456834575961e-07
66669,Thy Økologisk Humle,140.0,2.0385027478059963e-07
66671,Blågards Pilsner,192.0,2.795660911276795e-07
66672,Økologisk Thy Pilsner,128.0,1.8637739408511967e-07
66674,"Ship full of IPA, Alcholfri",160.0,2.3297174260639956e-07
66675,Økologisk Saft,288.0,4.1934913669151923e-07
66678,Bomben,270.0,3.931398156482993e-07
66680,Kombucha,288.0,4.1934913669151923e-07
66729,Ukrudt,35.0,5.096256869514991e-08
67188,Salt mandler,180.0,2.620932104321995e-07
67189,Salt græskarkerner,0.0,0.0
67190,Marinerede oliven,360.0,5.24186420864399e-07
67192,Rå-marinerede asparges salat,375.0,5.46027521733749e-07
67203,Kokos-chokolade kugle,135.0,1.9656990782414964e-07
67204,Raw gulerodskage,130.0,1.8928954086769965e-07
67221,Pale Ale,520.0,7.571581634707986e-07
67222,Kombucha fra Voelkel 33cl,0.0,0.0
67223,Ginger Beer 25cl,405.0,5.897097234724489e-07
67224,Biodynamisk most fra Bellinghus,140.0,2.0385027478059963e-07
67240,Iskaffe,141.0,2.0530634817188963e-07
67396,Oreo,0.0,0.0
67397,Snickers,0.0,0.0
67398,toffifee,0.0,0.0
67399,Daim Drøm,0.0,0.0
67400,Jordbær med sukker,0.0,0.0
67401,Kinder Maxi,0.0,0.0
67402,"Aqua d'or kildevand m. brus 0,5 l",0.0,0.0
