id,place_id,created,title,type,multiple_selections,minimum_selections,maximum_selections,index,created_datetime
1248277,619268,1706628159,Sandwich,Optional,0,1,1,0,2024-01-30T17:22:39
1267635,806964,1706702858,Fest,Optional,0,1,1,0,2024-01-31T14:07:38
1297820,599346,1706791333,"+18,-",Optional,0,1,1,9,2024-02-01T14:42:13
1320323,599346,1706869068,Kande,Optional,0,1,1,10,2024-02-02T12:17:48
1320399,599346,1706869262,"2 ens for 135,-",Optional,0,1,1,11,2024-02-02T12:21:02
1320597,599346,1706869667,Tapas,Optional,0,1,1,12,2024-02-02T12:27:47
1320617,1320492,1706869700,Size,Optional,0,1,1,0,2024-02-02T12:28:20
1320618,1320492,1706869700,Drink,Optional,0,1,1,1,2024-02-02T12:28:20
1320619,1320492,1706869700,Flavor,Optional,0,1,1,2,2024-02-02T12:28:20
1330457,806964,1706881426,Børn 6 - 11 år,Optional,0,1,1,1,2024-02-02T15:43:46
1330790,806964,1706881780,Børn 0 - 5 år,Optional,0,1,1,2,2024-02-02T15:49:40
1330837,1246159,1706881904,Size 1,Optional,0,1,1,0,2024-02-02T15:51:44
1330838,1246159,1706881904,Size 2,Optional,0,1,1,1,2024-02-02T15:51:44
1330839,1246159,1706881904,Size 3,Optional,0,1,1,2,2024-02-02T15:51:44
1330840,1246159,1706881904,Size 4,Optional,0,1,1,3,2024-02-02T15:51:44
1330841,1246159,1706881904,Size 5,Optional,0,1,1,4,2024-02-02T15:51:44
1330842,1246159,1706881904,Size 6,Optional,0,1,1,5,2024-02-02T15:51:44
1332336,806964,1706883731,Irish Coffee,Optional,0,1,1,17,2024-02-02T16:22:11
1332518,806964,1706883952,Møllerens,Optional,0,1,1,3,2024-02-02T16:25:52
1332550,806964,1706884006,Luksus,Optional,0,1,1,4,2024-02-02T16:26:46
1332579,806964,1706884071,Årstidens,Optional,0,1,1,5,2024-02-02T16:27:51
1332925,806964,1706884527,Forretter UAH,Optional,0,1,1,6,2024-02-02T16:35:27
1333003,806964,1706884670,Suppe,Optional,0,1,1,8,2024-02-02T16:37:50
1333011,806964,1706884698,Hovedretter UAH,Optional,0,1,1,9,2024-02-02T16:38:18
1333079,806964,1706884839,Jagtfrokost,Optional,0,1,1,10,2024-02-02T16:40:39
1333161,806964,1706884948,Desserter,Optional,0,1,1,11,2024-02-02T16:42:28
1333260,806964,1706885103,Tilkøb,Optional,0,1,1,12,2024-02-02T16:45:03
1333629,806964,1706885604,Svinekam stegt som vildt,Optional,0,1,1,13,2024-02-02T16:53:24
1334415,806964,1706886720,Kalvesteg stegt som vildt,Optional,0,1,1,14,2024-02-02T17:12:00
1334640,806964,1706886978,Stegebuffet med 3 slags kød m.m.,Optional,0,1,1,15,2024-02-02T17:16:18
1334922,806964,1706887267,Tilkøb til busmenu,Optional,0,1,1,16,2024-02-02T17:21:07
1451924,1419958,1707228352,Size 1,Optional,0,1,1,0,2024-02-06T16:05:52
